Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Total Approved Units,Average Grade,Approval Ratio,Target
0.0,-0.09547021792424412,2.102099317686916,-2.1911589451534836,0.0,0.0,-0.834071617346235,0.0,-0.03601818304912759,-0.6697781239812184,-0.35917384883016046,0.718974486275504,0.03509676529739134,0.9075119316119963,0.0,0.0,0.0,1.3576404754825118,0.0,-0.4542357282825717,0.0,0.0,-2.6276837811769838,-2.215381454756622,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-2.6447626252628305,-2.1656640384544152,-1.511364155853715,-1.78640131376842,0.0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,-1.633746358288283,-1.9389214074665087,-1.8692805761467002,0
0.0,-0.20986898393097642,-0.6191763250376455,-0.09999925743298628,0.0,0.0,2.1839470209113316,0.0,-1.1897591132857017,-1.2564270259222672,-0.9304429867861662,-1.0673744409203565,1.1211874063788516,0.9075119316119963,0.0,0.0,0.0,1.3576404754825118,0.0,-0.6391059087721851,0.0,0.0,-0.09254627208812184,-0.5817253447705187,0.5195687010955878,0.9353563787964186,0.0,0.0,-0.12298238836154035,-0.5354279135399466,0.546584451562978,0.7915225507637236,0.0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0.5469920171720499,0.8997267577003603,0.8557915176456431,2
0.0,-1.0106603459781025,2.102099317686916,-0.5394891289813261,0.0,0.0,-0.834071617346235,0.0,1.1177227471874465,0.9598021591883613,0.7833644270818512,0.718974486275504,-0.1435365638278488,0.9075119316119963,0.0,0.0,0.0,1.3576404754825118,0.0,-0.6391059087721851,0.0,0.0,-0.09254627208812184,-2.215381454756622,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-0.12298238836154035,-2.1656640384544152,-1.511364155853715,-1.78640131376842,0.0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,-1.633746358288283,-1.9389214074665087,-1.8692805761467002,0
0.0,-0.09547021792424412,0.46933393205217905,1.1396488041626025,0.0,0.0,-0.834071617346235,0.0,1.181819465533923,0.9598021591883613,-0.35917384883016046,-1.0673744409203565,-0.5150938884083485,0.9075119316119963,0.0,0.0,0.0,-0.7365720292366764,0.0,-0.4542357282825717,0.0,0.0,-0.09254627208812184,-0.03717330810848436,0.5195687010955878,0.6878233797731099,0.0,0.0,-0.12298238836154035,0.5513961697363661,0.2035930169935292,0.3107318422865635,0.0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,0.3652638192170222,0.5101034341144736,0.628702176496281,2
0.0,1.162916208149811,-0.6191763250376455,-2.1911589451534836,0.0,0.0,-2.382791708031039,0.0,1.1177227471874465,1.0249853705151446,0.7833644270818512,0.718974486275504,1.0497340747287556,-1.101913886932284,0.0,0.0,0.0,-0.7365720292366764,0.0,2.1339467985720155,0.0,0.0,-0.09254627208812184,0.23510271022253285,0.1527362827031716,0.21338513164510148,0.0,0.0,-0.12298238836154035,-0.5354279135399466,0.546584451562978,0.5384748094599552,0.0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0.3652638192170222,0.4051272018529914,0.628702176496281,2
0.0,1.162916208149811,-0.6191763250376455,1.6603487606709617,0.0,0.0,0.04750751119742221,0.0,1.1177227471874465,0.9598021591883613,0.7833644270818512,0.12352484387688381,-0.8580698803288094,-1.101913886932284,0.0,0.0,0.0,1.3576404754825118,0.0,2.1339467985720155,0.0,0.0,-0.7263306493603373,0.50737872855355,0.1527362827031716,0.007107632459010755,0.0,0.0,-0.7534274475868629,2.181632294650835,0.2035930169935292,-0.030882608473524406,0.0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0.1835356212619945,-0.013768340344271232,0.8557915176456431,2
0.0,-1.0106603459781025,-0.6191763250376455,0.4875795925718593,0.0,0.0,0.7543592448945896,0.0,-0.03601818304912759,1.0249853705151446,0.21209528912584535,1.016699307474814,0.11369543011249762,0.9075119316119963,0.0,0.0,0.0,-0.7365720292366764,0.0,-0.8239760892617984,0.0,0.0,0.5412381051840937,0.23510271022253285,0.8864011194880042,0.6321284549928656,0.0,0.0,1.1379077300891045,0.007984128098209756,1.2325673207018757,1.0489986275403087,0.0,1.476924272807967,1.1370048489905784,-1.7896667428492534,1.0921766110371331,0.8951340475389216,0.8557915176456431,2
0.0,-0.038270834920877975,2.102099317686916,-0.09999925743298628,0.0,0.0,-1.0723362466823587,0.0,1.1177227471874465,0.9598021591883613,0.7833644270818512,0.718974486275504,-0.9795405441339728,0.9075119316119963,0.0,0.0,0.0,1.3576404754825118,0.0,-0.08449536730334498,0.0,0.0,-0.7263306493603373,-0.854001363101536,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-0.7534274475868629,-0.8071339343590247,-1.511364155853715,-1.78640131376842,0.0,1.476924272807967,1.1370048489905784,-1.7896667428492534,-1.633746358288283,-1.9389214074665087,-1.8692805761467002,0
0.0,-1.0106603459781025,1.5578441891420036,-0.13821576800240715,0.0,0.0,0.3572515293343835,0.0,-1.1897591132857017,-1.3867934485758335,0.7833644270818512,0.718974486275504,0.17800342859758447,-1.101913886932284,0.0,0.0,0.0,-0.7365720292366764,0.0,-0.26936554779295835,0.0,0.0,-0.09254627208812184,-0.03717330810848436,0.5195687010955878,0.8812085352600698,0.0,0.0,-0.12298238836154035,-0.2637218927208684,0.546584451562978,0.9722709374092727,0.0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0.5469920171720499,0.9741690377896332,0.8557915176456431,2
0.0,-1.0106603459781025,-0.6191763250376455,-0.13821576800240715,0.0,0.0,0.43667307244642467,0.0,-1.1897591132857017,-0.21349564469373608,-0.6448084178081633,0.12352484387688381,-0.2721525607980215,0.9075119316119963,0.0,0.0,0.0,-0.7365720292366764,0.0,-0.8239760892617984,0.0,0.0,-0.09254627208812184,0.23510271022253285,0.1527362827031716,-0.19091876675963637,0.0,0.0,-0.12298238836154035,1.6382202530126786,-0.8253812867148174,0.7282606154377816,0.0,-1.0009723271182625,0.12438647318417584,1.545606837207885,-0.3616489726030887,0.31327299862419333,-0.2796551881011665,0
